Domain,Company,Original_Name,PE Firm,Year,Source
bioproductslaboratory.com,Bio Products Laboratory,Bio Products Laboratory,Permira companies,Unknown,Wikipedia
bliptv.com,Blip.tv,Blip.tv,Bain Capital companies,Unknown,Wikipedia
bluecoatsystems.com,Blue Coat Systems,Blue Coat Systems,Bain Capital companies,Unknown,Wikipedia
bluenile.com,Blue Nile,Blue Nile Inc.,Bain Capital companies,Unknown,Wikipedia
bmcsoftware.com,BMC Software,BMC Software,Kohlberg Kravis Roberts companies,Unknown,Wikipedia
bookersoftware.com,Booker Software,Booker Software,Bain Capital companies,Unknown,Wikipedia
boostjuice.com,Boost Juice,Boost Juice,Bain Capital companies,Unknown,Wikipedia
brakebros.com,Brake Bros,Brake Bros,Bain Capital companies,Unknown,Wikipedia
brenntag.com,Brenntag,Brenntag,Bain Capital companies,Unknown,Wikipedia
brighthorizons.com,Bright Horizons,Bright Horizons,Bain Capital companies,Unknown,Wikipedia
brillio.com,Brillio,Brillio,Bain Capital companies,Unknown,Wikipedia
bromleybrookschool.com,Bromley Brook School,Bromley Brook School,Bain Capital companies,Unknown,Wikipedia
brookstone.com,Brookstone,Brookstone,Bain Capital companies,Unknown,Wikipedia
brp.com,BRP,BRP Inc.,Bain Capital companies,Unknown,Wikipedia
bugaboointernational.com,Bugaboo International,Bugaboo International,Bain Capital companies,Unknown,Wikipedia
burgerking.com,Burger King,Burger King,Bain Capital companies,Unknown,Wikipedia
burlingtondepartmentstore.com,Burlington (department store),Burlington (department store),Bain Capital companies,Unknown,Wikipedia
buywithme.com,BuyWithMe,BuyWithMe,Bain Capital companies,Unknown,Wikipedia
canadagooseclothing.com,Canada Goose (clothing),Canada Goose (clothing),Bain Capital companies,Unknown,Wikipedia
cinemex.com,Cinemex,Cinemex,The Carlyle Group companies,Unknown,Wikipedia
cnabookstore.com,CNA (bookstore),CNA (bookstore),Bain Capital companies,Unknown,Wikipedia
colorlabs.com,Color Labs,Color Labs,Bain Capital companies,Unknown,Wikipedia
crchealth.com,CRC Health,CRC Health Group,Bain Capital companies,Unknown,Wikipedia
,D+M,D+M Group,Bain Capital companies,Unknown,Wikipedia
diversey.com,Diversey,Diversey Holdings,Bain Capital companies,Unknown,Wikipedia
dollarama.com,Dollarama,Dollarama,Bain Capital companies,Unknown,Wikipedia
dominos.com,Domino's,Domino's,Bain Capital companies,Unknown,Wikipedia
doubleclick.com,DoubleClick,DoubleClick,Bain Capital companies,Unknown,Wikipedia
duanereade.com,Duane Reade,Duane Reade,Bain Capital companies,Unknown,Wikipedia
dunkinbrands.com,Dunkin' Brands,Dunkin' Brands,The Carlyle Group companies,Unknown,Wikipedia
